기준_SHA,원본_종류,block_id,현재_block_version,현재_이름,현재_editor_component,현재_category,현재_용도명,현재_preset수,현재_갤러리노출,현재_일반레이아웃중첩,현재_자식슬롯,권고_제작단위,전환_주의,소스_위치
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.hero-centered-01,1,히어로,Hero,hero-conversion,첫 화면·전환,9,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,직접 문구/미디어/항목 편집과 내부 자식 슬롯은 별개. 첫 슬롯은 대표 Hero부터,resources/block-packs/builtin-core/manifest.json:17
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.hero-split-01,1,기존 분할 히어로,HeroSplit,hero-conversion,첫 화면·전환,0,숨김,불가; root 호환 경로만,없음,호환 전용,구형 문서 호환 유지. 신규 삽입 숨김 유지,resources/block-packs/builtin-core/manifest.json:35
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.hero-slider-01,1,슬라이더 히어로,HeroSlider,hero-conversion,첫 화면·전환,1,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,직접 문구/미디어/항목 편집과 내부 자식 슬롯은 별개. 첫 슬롯은 대표 Hero부터,resources/block-packs/builtin-core/manifest.json:55
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.heading-01,1,제목,Heading,basic,기본,2,기본 후보 노출,Section/Columns/Stack 허용,없음,기본 요소,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:75
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.rich-text-01,1,리치텍스트,RichText,basic,기본,2,기본 후보 노출,Section/Columns/Stack 허용,없음,기본 요소,현재 본문 안 목록 지원. 독립 목록 진입점/표현은 먼저 이 계약 재사용 검토,resources/block-packs/builtin-core/manifest.json:93
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,media.image-01,1,단일 이미지,Image,basic,기본,2,기본 후보 노출,Section/Columns/Stack 허용,없음,기본 요소,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:111
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,action.buttons-01,1,버튼 묶음,Buttons,basic,기본,2,기본 후보 노출,Section/Columns/Stack 허용,없음,기본 요소,기본 버튼은 기존 1항목 표현 재사용. 2~3항목 버튼 묶음과 원본 ID를 불필요하게 분리하지 않음,resources/block-packs/builtin-core/manifest.json:129
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,media.image-text-01,1,이미지 + 텍스트,ImageText,content,콘텐츠,2,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,현재는 고정 조합. 목표 분류는 컴포넌트이며 extra/actions 개방에는 명시적 계약 변경 필요. 제목/설명/대표 이미지는 공개 필드 유지,resources/block-packs/builtin-core/manifest.json:147
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.icon-list-01,1,아이콘 목록,IconList,content,콘텐츠,2,기본 후보 노출,불가; root 호환 경로만,없음,컴포넌트,현재 아이콘+문구 목록 조합. 독립 아이콘 또는 단순 목록 타입과 구별,resources/block-packs/builtin-core/manifest.json:165
58ed8a33829fdcb1327d730c6ab6da953f656949,내장 block 정의,content.features-grid-01,1,특징 목록,Features,hero-conversion,첫 화면·전환,5,기본 후보 노출,불가; root 호환 경로만,없음,완성 섹션,권고 분류는 신규 편집 능력 구현을 뜻하지 않음. preset은 제작 단위와 별도 축,resources/block-packs/builtin-core/manifest.json:183
